campaign,evidence_class,run_name,scenario,source_dataset,target_dataset,method,seed,adaptation_enabled,formal_gate4_run,summary_path
v018_core,engineering_smoke_only,E00_smoke_adaptive,synthetic_novel_classes,Synthetic-Source-Smoke,Synthetic-Target-Smoke,adaptive_prototype_1pct,11,True,False,results/frozen/v018_core/runs/E00_smoke_adaptive__adaptive_prototype_1pct__seed11/summary.json
v018_core,engineering_smoke_only,E00_smoke_static,synthetic_novel_classes,Synthetic-Source-Smoke,Synthetic-Target-Smoke,logistic_open_set,11,False,False,results/frozen/v018_core/runs/E00_smoke_static__logistic_open_set__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E02_E05_UNSW_decoupled_static_check_v013,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,prototype_static_closed,11,False,False,results/frozen/v018_core/runs/E02_E05_UNSW_decoupled_static_check_v013__prototype_static_closed__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E02_E05_UNSW_logistic_v012,supported_6class_temporal_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Pilot,logistic_closed,11,False,False,results/frozen/v018_core/runs/E02_E05_UNSW_logistic_v012__logistic_closed__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E02_E05_UNSW_random_forest_v012,supported_6class_temporal_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Pilot,random_forest_closed,11,False,False,results/frozen/v018_core/runs/E02_E05_UNSW_random_forest_v012__random_forest_closed__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E02_E05_UNSW_session_aligned_eval5000_v012,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,logistic_closed,11,False,False,results/frozen/v018_core/runs/E02_E05_UNSW_session_aligned_eval5000_v012__logistic_closed__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E02_E05_UNSW_session_aligned_eval5000_v012,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,prototype_static_closed,11,False,False,results/frozen/v018_core/runs/E02_E05_UNSW_session_aligned_eval5000_v012__prototype_static_closed__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E02_E05_UNSW_session_aligned_eval5000_v012,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,random_forest_closed,11,False,False,results/frozen/v018_core/runs/E02_E05_UNSW_session_aligned_eval5000_v012__random_forest_closed__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E02_E05_UNSW_session_aligned_logistic_5000_v012,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,logistic_closed,11,False,False,results/frozen/v018_core/runs/E02_E05_UNSW_session_aligned_logistic_5000_v012__logistic_closed__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E02_E05_UNSW_session_aligned_pilot_v012,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,logistic_closed,11,False,False,results/frozen/v018_core/runs/E02_E05_UNSW_session_aligned_pilot_v012__logistic_closed__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E02_E05_UNSW_session_aligned_pilot_v012,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,prototype_static_closed,11,False,False,results/frozen/v018_core/runs/E02_E05_UNSW_session_aligned_pilot_v012__prototype_static_closed__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E02_E05_UNSW_session_aligned_pilot_v012,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,random_forest_closed,11,False,False,results/frozen/v018_core/runs/E02_E05_UNSW_session_aligned_pilot_v012__random_forest_closed__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E02_E05_UNSW_temporal_pilot,supported_6class_temporal_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Pilot,prototype_static_closed,11,False,False,results/frozen/v018_core/runs/E02_E05_UNSW_temporal_pilot__prototype_static_closed__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E02_E05_UNSW_temporal_pilot_v012,supported_6class_temporal_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Pilot,prototype_static_closed,11,False,False,results/frozen/v018_core/runs/E02_E05_UNSW_temporal_pilot_v012__prototype_static_closed__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E02_E05_UNSW_warmup_gate_static_v014,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,prototype_static_closed,11,False,False,results/frozen/v018_core/runs/E02_E05_UNSW_warmup_gate_static_v014__prototype_static_closed__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E05_UNSW_nested_naive_replay_budget_025_v015,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,nested_naive_replay_event_025,11,True,False,results/frozen/v018_core/runs/E05_UNSW_nested_naive_replay_budget_025_v015__nested_naive_replay_event_025__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E05_UNSW_nested_naive_replay_budget_050_v015,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,nested_naive_replay_event_050,11,True,False,results/frozen/v018_core/runs/E05_UNSW_nested_naive_replay_budget_050_v015__nested_naive_replay_event_050__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E05_UNSW_nested_naive_replay_budget_100_v015,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,nested_naive_replay_event_100,11,True,False,results/frozen/v018_core/runs/E05_UNSW_nested_naive_replay_budget_100_v015__nested_naive_replay_event_100__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E05_UNSW_nested_naive_replay_budget_200_v015,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,nested_naive_replay_event_200,11,True,False,results/frozen/v018_core/runs/E05_UNSW_nested_naive_replay_budget_200_v015__nested_naive_replay_event_200__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E05_UNSW_nested_source_anchored_budget_025_v015,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,nested_source_anchored_event_025,11,True,False,results/frozen/v018_core/runs/E05_UNSW_nested_source_anchored_budget_025_v015__nested_source_anchored_event_025__seed11/summary.json
v018_core,historical_UNSW_development_pre_four_gate,E05_UNSW_nested_source_anchored_budget_050_v015,supported_6class_capture_session_and_prevalence_shift,NF-UNSW-NB15-v3-Historical-Pilot,NF-UNSW-NB15-v3-Future-Session-Aligned-Pilot,nested_source_anchored_event_050,11,True,False,results/frozen/v018_core/runs/E05_UNSW_nested_source_anchored_budget_050_v015__nested_source_anchored_event_050__seed11/summary.json
