budget,trigger_window,window_local_index,target_row_index,true_family,predicted_label,unknown_score,confidence
50,41,1,20501,DDoS,Benign,0.6615837917364225,0.33841620826357754
50,41,3,20503,DDoS,Benign,0.6615495166711374,0.33845048332886263
50,41,30,20530,Benign,BruteForce,0.7473347099325311,0.25266529006746885
50,41,51,20551,Benign,Benign,0.586526654095435,0.41347334590456497
50,41,52,20552,Benign,Benign,0.5930563445452538,0.4069436554547462
50,41,57,20557,Benign,Benign,0.5477435952055218,0.45225640479447815
50,41,70,20570,Benign,Benign,0.7297870108538533,0.27021298914614666
50,41,72,20572,Benign,Benign,0.7299050828517003,0.2700949171482997
50,41,90,20590,Benign,Benign,0.6118870408081944,0.38811295919180555
50,41,112,20612,DDoS,Benign,0.6599252553940573,0.34007474460594267
50,41,116,20616,DDoS,Benign,0.6688199693058938,0.3311800306941062
50,41,169,20669,Benign,Benign,0.8774202604282401,0.12257973957175994
50,41,171,20671,Benign,Benign,0.579667314072586,0.420332685927414
50,41,179,20679,Benign,Benign,0.6043124396917681,0.39568756030823193
50,41,184,20684,Benign,DoS,0.9119222805657652,0.08807771943423481
50,41,195,20695,DDoS,Benign,0.6587754579282479,0.3412245420717521
50,41,198,20698,Benign,Benign,0.666616145208679,0.33338385479132104
50,41,200,20700,Benign,Benign,0.6891849041636203,0.3108150958363797
50,41,205,20705,DDoS,Benign,0.658281768751191,0.34171823124880896
50,41,208,20708,DDoS,Benign,0.6587378208457975,0.34126217915420254
50,41,216,20716,DDoS,Benign,0.6594617045010642,0.3405382954989358
50,41,227,20727,DDoS,Benign,0.6588179358312891,0.3411820641687109
50,41,228,20728,DDoS,Benign,0.6588712953565539,0.34112870464344613
50,41,231,20731,DDoS,Benign,0.6591102016252723,0.34088979837472766
50,41,232,20732,DDoS,Benign,0.6591463589863107,0.3408536410136893
50,41,234,20734,DDoS,Benign,0.659463506152583,0.340536493847417
50,41,235,20735,DDoS,Benign,0.6614346978575125,0.3385653021424875
50,41,254,20754,DDoS,Benign,0.6615915415707826,0.3384084584292174
50,41,255,20755,DDoS,Benign,0.6617282059811318,0.3382717940188682
50,41,301,20801,Benign,BruteForce,0.6982283287185045,0.3017716712814955
50,41,307,20807,DDoS,Benign,0.6616806179889128,0.33831938201108724
50,41,309,20809,DDoS,Benign,0.6616822751260659,0.3383177248739341
50,41,318,20818,Benign,Benign,0.9096558832070951,0.09034411679290488
50,41,329,20829,DDoS,Benign,0.6611507558002097,0.33884924419979034
50,41,350,20850,DDoS,Benign,0.6600356747740781,0.3399643252259219
50,41,379,20879,DDoS,Benign,0.6591908317597868,0.34080916824021323
50,41,401,20901,Benign,Benign,0.639155052640056,0.360844947359944
50,41,417,20917,DDoS,Benign,0.661780795674309,0.33821920432569097
50,41,420,20920,Benign,DoS,0.8526562249281066,0.14734377507189345
50,41,425,20925,Benign,Benign,0.6379835522866371,0.36201644771336294
50,41,427,20927,Benign,Benign,0.7162564007643102,0.2837435992356898
50,41,429,20929,Benign,Benign,0.6372885016984224,0.36271149830157756
50,41,432,20932,Benign,Benign,0.7064661475177649,0.29353385248223507
50,41,437,20937,Benign,BruteForce,0.7847946295940043,0.21520537040599574
50,41,462,20962,Benign,Benign,0.9284213929886025,0.07157860701139751
50,41,467,20967,DDoS,Benign,0.6616429012601,0.33835709873990005
50,41,468,20968,Benign,BruteForce,0.7903009895617117,0.2096990104382883
50,41,469,20969,Benign,Benign,0.5980867107131079,0.4019132892868921
50,41,476,20976,Benign,Benign,0.6013027517712991,0.3986972482287009
50,41,489,20989,Benign,Benign,0.6458769305142051,0.35412306948579486
200,41,0,20500,DDoS,Benign,0.661576826311502,0.33842317368849795
200,41,1,20501,DDoS,Benign,0.6615837917364225,0.33841620826357754
200,41,2,20502,DDoS,Benign,0.6615834491422228,0.3384165508577772
200,41,3,20503,DDoS,Benign,0.6615495166711374,0.33845048332886263
200,41,5,20505,DDoS,Benign,0.6615738663718166,0.3384261336281834
200,41,10,20510,Benign,BruteForce,0.7704321850714463,0.22956781492855372
200,41,13,20513,Benign,Benign,0.7758930787996199,0.22410692120038012
200,41,15,20515,Benign,Benign,0.5756166089055101,0.42438339109448986
200,41,16,20516,Benign,Benign,0.5830211407979367,0.41697885920206335
200,41,19,20519,Benign,Benign,0.6004967966869386,0.39950320331306144
200,41,25,20525,Benign,Benign,0.5025836785191968,0.49741632148080317
200,41,28,20528,Benign,Benign,0.5817396921627978,0.41826030783720225
200,41,30,20530,Benign,BruteForce,0.7473347099325311,0.25266529006746885
200,41,32,20532,Benign,Benign,0.9303870216639563,0.06961297833604374
200,41,41,20541,DDoS,Benign,0.6617019827329667,0.33829801726703335
200,41,46,20546,DDoS,Benign,0.661673593723018,0.33832640627698196
200,41,50,20550,Benign,__unknown__,0.947291591231028,0.05270840876897198
200,41,51,20551,Benign,Benign,0.586526654095435,0.41347334590456497
200,41,52,20552,Benign,Benign,0.5930563445452538,0.4069436554547462
