episode,seed,run_name,seed_paths,run_name_path,config_path,config_sha256
DoS,23,R18_CSE_DoS_guard_seed_robustness_s023,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_dos_guard_seed_robustness_seed023_v018.yaml,26b2dc399a9bc343765b84b11c4d290b481db3dd8156edf800221874fad68a83
DoS,37,R18_CSE_DoS_guard_seed_robustness_s037,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_dos_guard_seed_robustness_seed037_v018.yaml,3900b7080b1a41e9c78229d1d8bd808baffa352b20616950b14a8a0509f05a73
DoS,53,R18_CSE_DoS_guard_seed_robustness_s053,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_dos_guard_seed_robustness_seed053_v018.yaml,59dd5f72377d2d37172c59ba44cd128ed200c430d3895aa0efb677f02326b431
DoS,71,R18_CSE_DoS_guard_seed_robustness_s071,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_dos_guard_seed_robustness_seed071_v018.yaml,fb8728cf0dc1455767469a6ade898129c113c4057d3a60aacd0e6176f6a78cda
DoS,83,R18_CSE_DoS_guard_seed_robustness_s083,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_dos_guard_seed_robustness_seed083_v018.yaml,5f2c9217b6d9ed414e350607a19e74184f7696beb06aeb355986f5598ac9a699
DoS,97,R18_CSE_DoS_guard_seed_robustness_s097,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_dos_guard_seed_robustness_seed097_v018.yaml,e803d324516370a96dc4fac7f03470f23b48ab0720bf9e5a1b318fcb20ec4150
DoS,109,R18_CSE_DoS_guard_seed_robustness_s109,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_dos_guard_seed_robustness_seed109_v018.yaml,b95d5d32504135f8adcb0336d9c830643da3675f12a9c48a1a49bef50c41ee4a
DoS,127,R18_CSE_DoS_guard_seed_robustness_s127,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_dos_guard_seed_robustness_seed127_v018.yaml,de57eb403f1ce9d4ce91059fc71bb615d5d184876e12034b2a7096748ab6647a
DoS,149,R18_CSE_DoS_guard_seed_robustness_s149,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_dos_guard_seed_robustness_seed149_v018.yaml,115e63a5eaa33b9b6d5638a9fb12b4e9f6be443e9e2df6b939f022efa74d4cbc
Web Attacks,23,R18_CSE_Web_guard_seed_robustness_s023,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_web_guard_seed_robustness_seed023_v018.yaml,11566af48b6197916ad138a6986c5ac62ad285c15822f579633e1e22e32cb004
Web Attacks,37,R18_CSE_Web_guard_seed_robustness_s037,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_web_guard_seed_robustness_seed037_v018.yaml,5ed276e8565d9834110fbe7319144f10eb8b4a7da14339925cdc9f8f1b26b4eb
Web Attacks,53,R18_CSE_Web_guard_seed_robustness_s053,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_web_guard_seed_robustness_seed053_v018.yaml,120825dfc49e98fa9263aa484a8d92a7d43798c09d670189423d3de5b04b3c81
Web Attacks,71,R18_CSE_Web_guard_seed_robustness_s071,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_web_guard_seed_robustness_seed071_v018.yaml,412ea4a55077564a1c8f12c0e6e32037ea98b378915976186356ed68b91a36a0
Web Attacks,83,R18_CSE_Web_guard_seed_robustness_s083,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_web_guard_seed_robustness_seed083_v018.yaml,a3a00be45e62679d2d92dc8161d6b1e8089424864cce5d61aa392160dbc2104d
Web Attacks,97,R18_CSE_Web_guard_seed_robustness_s097,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_web_guard_seed_robustness_seed097_v018.yaml,57d863ac42842845e4ab96af210e26703dd314c5768dd5f599fe396710b96beb
Web Attacks,109,R18_CSE_Web_guard_seed_robustness_s109,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_web_guard_seed_robustness_seed109_v018.yaml,3042f78308b1c9ccbbfa87d5c6e12967951f5c85add705dbffa70574c8e4c8d7
Web Attacks,127,R18_CSE_Web_guard_seed_robustness_s127,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_web_guard_seed_robustness_seed127_v018.yaml,891885122c2044f95d3f68ea87ba4c649c4cff00002f8cefa981ca65f7198272
Web Attacks,149,R18_CSE_Web_guard_seed_robustness_s149,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_web_guard_seed_robustness_seed149_v018.yaml,17f8dcb4c0455f1acada94739a3e93347df4fe5f9dc7f810b9423afc6a54b5ae
Bot,23,R18_CSE_Bot_guard_seed_robustness_s023,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_bot_guard_seed_robustness_seed023_v018.yaml,8104f5b50ca7b2344cc2be3ea2d81597518fe8df487f2d35113242c2696ad81c
Bot,37,R18_CSE_Bot_guard_seed_robustness_s037,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_bot_guard_seed_robustness_seed037_v018.yaml,e93b2d553f29f2a8c93dcad872c931cccfc36bed0f6669eed563489c05304ef1
Bot,53,R18_CSE_Bot_guard_seed_robustness_s053,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_bot_guard_seed_robustness_seed053_v018.yaml,c343b574cd661984fcc5e8aac56160c5b4571e825fa59a54e19a54b5a02df0c2
Bot,71,R18_CSE_Bot_guard_seed_robustness_s071,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_bot_guard_seed_robustness_seed071_v018.yaml,2dac3021dc5200054fad6f8961e6f069e801161177290d531ce4fc1f46e2b547
Bot,83,R18_CSE_Bot_guard_seed_robustness_s083,seed,name,C:\Users\ASUS\raids-nids\configs\experiments\cse_guard_seed_robustness_v018\cse_bot_guard_seed_robustness_seed083_v018.yaml,bfc4a4cd5d969fb2ef18e1d129642bbbc6cf729e85e5b3564605cc99e3eeafff
